Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
PAU_1,0.685986571,0.649454331,0.699735625,1.031610635
PCR_0,0.570822359,0.506420866,0.480031967,1.161855613
PCR_1,0.583540489,0.544020797,0.515422798,1.120494401
PHI_0,6.60E-01,0.582897676,6.08E-01,1.11E+00
PHI_1,0.692374255,0.633621268,0.399117622,1.125547859
PHI_2,6.42E-01,0.547459529,6.15E-01,1.19E+00
PON_0,0.647600755,0.572562055,0.541440895,1.109246721
PON_1,8.22E-01,0.641851716,7.74E-01,1.180131462
POR,5.29E-01,0.487826393,6.99E-01,1.163185939
POS,6.45E-01,0.607232562,8.90E-01,1.07E+00
PSI,0.518792291,0.537474449,0.627729853,1.072834016
PUN_0,6.53E-01,0.570232287,7.71E-01,1.17E+00
PWN,0.710471436,0,0.734746842,1.028403452
PWO,0.667080333,0.656655584,0.746482942,1.024886688
PWW,0.634803196,0.577131371,0.724933412,1.089304306
RHO_0,0.736385014,0.654508034,0.690529635,1.117705737
RHO_1,7.26E-01,0.736413799,8.66E-01,1.04E+00
RON_0,0.651112205,0.642479539,0.722971749,0.996076504
RRO_0,1.256067917,1.108860711,1.447737908,1.133758059
RSN_0,0.786704958,0.809977011,0.364186165,1.021669901
RTE_0,5.80E-01,0.564266432,9.37E-01,1.006579932
RTE_1,5.94E-01,0.581632391,9.19E-01,1.005442169
RTH_0,6.79E-01,0.713578665,9.01E-01,9.93E-01
RTH_1,6.90E-01,0.691075298,9.10E-01,0.964229194
RWY_0,7.80E-01,0.718788801,9.28E-01,1.08E+00
SAF_0,6.42E-01,0.622495359,8.74E-01,1.01E+00
SAF_1,6.58E-01,0.594350062,8.61E-01,1.084639383
SAO_0,6.88E-01,0.668975173,9.96E-01,9.96E-01
SAO_1,6.93E-01,0.764411587,9.90E-01,1.033614217
SAS_0,6.72E-01,0.673196194,9.50E-01,9.69E-01
SAS_1,6.93E-01,0.750403775,9.60E-01,1.027783783
SAT_0,5.89E-01,0.500710179,8.72E-01,1.135911269
SAT_1,5.65E-01,0.490361211,8.10E-01,1.089444395
SAV_0,6.72E-01,0.649041568,9.07E-01,1.02E+00
SBE_0,6.96E-01,0.675261218,7.49E-01,1.04E+00
SBS_0,7.08E-01,0.687065398,9.42E-01,1.03E+00
SBT_0,7.05E-01,0.687472431,9.49E-01,1.03E+00
SEW_0,6.06E-01,0.577277143,7.25E-01,1.05E+00
SEW_1,6.12E-01,0.597939832,7.36E-01,1.06E+00
SFE_0,6.65E-01,0.646226035,8.69E-01,1.04E+00
SFE_1,6.37E-01,0.605185037,8.54E-01,1.01E+00
SFF_0,6.54E-01,0.660920445,9.42E-01,9.81E-01
SFF_1,6.58E-01,0.684619307,8.75E-01,9.66E-01
SFG_0,6.08E-01,0.577947195,7.99E-01,1.04E+00
SFG_1,6.12E-01,0.573697091,7.89E-01,1.06E+00
SFH_0,6.81E-01,0.66384775,9.62E-01,1.02E+00
SFH_1,6.76E-01,0.64904903,9.35E-01,1.04E+00
SFN_0,6.92E-01,0.690215135,9.36E-01,1.08E+00
SFN_1,6.76E-01,0.666548302,9.41E-01,9.90E-01
SFO_0,7.17E-01,0.690433795,9.04E-01,1.05E+00
SFS_0,6.36E-01,0.607866912,7.75E-01,1.06E+00
SFS_1,6.10E-01,0.59407181,7.45E-01,1.06E+00
SFW_0,6.62E-01,0.638444356,8.46E-01,1.07E+00
SFW_1,6.58E-01,0.642150154,8.29E-01,1.06E+00
SIV_0,7.02E-01,0.578225038,5.38E-01,1.19E+00
SOF_0,7.50E-01,0.669118902,7.75E-01,1.14E+00
SOR,6.55E-01,0.590522897,8.78E-01,1.13E+00
SOS_0,8.33E-01,0.754171939,9.51E-01,1.13E+00
SOV,6.22E-01,0.607669095,9.21E-01,1.01E+00
SSF_0,6.61E-01,0.646513905,9.24E-01,1.02E+00
SSF_1,6.53E-01,0.627386151,9.31E-01,1.07E+00
SSY_0,6.64E-01,0.654491418,9.16E-01,1.05E+00
SSY_1,6.41E-01,0.625959437,8.78E-01,1.06E+00
STF_0,6.92E-01,0.670701913,8.83E-01,1.06E+00
STF_1,6.58E-01,0.687907022,8.97E-01,9.95E-01
STI_0,5.95E-01,0.547659755,8.47E-01,1.150032412
STI_1,5.95E-01,0.536109869,8.19E-01,1.10E+00
STI_2,5.92E-01,0.528195325,8.21E-01,1.089816357
STI_3,5.92E-01,0.537937991,8.04E-01,1.07E+00
STO_0,6.57E-01,0.623686185,8.92E-01,1.08E+00
STO_1,6.36E-01,0.614709741,8.53E-01,1.03E+00
STT_0,6.38E-01,0.619111435,8.53E-01,1.03824582
STT_1,6.13E-01,0.609055399,8.63E-01,1.009445324
STW_0,6.33E-01,0.631530381,7.21E-01,1.04E+00
SVR_0,5.84E-01,0.531476843,6.62E-01,1.056946513
SVR_1,5.79E-01,0.546728516,6.70E-01,1.080312472
SWY,5.62E-01,0.53361956,8.36E-01,1.085810942
SZR_0,6.10E-01,0.610392204,7.17E-01,1.02E+00
SZR_1,6.09E-01,0.636097186,7.43E-01,1.01E+00
TER_0,6.31E-01,0.568073464,7.18E-01,1.10E+00
TER_1,6.29E-01,0.597041364,7.20E-01,1.12E+00
THO_0,6.07E-01,0.534224813,4.64E-01,1.14E+00
TON_0,5.87E-01,0.580134288,6.62E-01,1.06E+00
TON_1,5.44E-01,0.541206341,5.80E-01,0.961092482
TSC_0,6.56E-01,0.669393921,7.09E-01,1.01E+00
TSC_1,6.98E-01,0.682108027,7.54E-01,1.03E+00
TUN_0,6.11E-01,0.583582933,7.24E-01,1.11E+00
TUN_1,6.06E-01,0.583582933,7.42E-01,1.100429894
UEI_0,6.11E-01,0.532029094,2.54E-01,1.14E+00
UFI_0,5.63E-01,0.563064248,6.90E-01,1.011305036
UFI_1,6.04E-01,0.566429618,7.11E-01,1.048654415
UOS_0,6.38E-01,0.60934181,6.27E-01,1.10E+00
UOV,6.28E-01,0.587141233,9.02E-01,1.05E+00
