Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
ETL,5.32E-01,5.09E-01,7.08E-01,1.044473902
ETR_0,6.32E-01,6.17E-01,8.24E-01,1.023628972
ETR_1,6.35E-01,6.24E-01,8.25E-01,1.02E+00
EUO_0,6.28E-01,6.17E-01,8.66E-01,1.02E+00
EUO_1,5.76E-01,5.48E-01,8.46E-01,1.050627816
EWS,5.75E-01,5.32E-01,7.82E-01,1.08000329
EZT_0,5.88E-01,5.49E-01,8.11E-01,1.07148166
EZT_1,6.02E-01,5.57E-01,8.27E-01,1.080532709
FAU_0,6.05E-01,6.22E-01,6.10E-01,0.971877592
FAU_1,6.22E-01,6.15E-01,6.53E-01,1.01E+00
FAU_2,6.04E-01,6.16E-01,6.33E-01,0.981335261
FAU_3,6.31E-01,6.22E-01,7.20E-01,1.02E+00
FAU_4,6.11E-01,6.05E-01,6.25E-01,1.00963673
FAU_5,6.22E-01,6.32E-01,7.05E-01,9.84E-01
FAU_6,6.79E-01,6.45E-01,6.96E-01,1.05E+00
FER_0,5.33E-01,4.77E-01,6.33E-01,1.115741586
FER_1,5.35E-01,4.70E-01,6.11E-01,1.136682121
FER_2,0.512981186,0.501354359,0.54974693,1.023190837
GIS_0,0.692508935,0.61086789,0.397024129,1.133647628
GIS_1,0.810045174,0.65264433,0.354585308,1.241174002
GIS_2,0.685411856,0.625422944,0.373346503,1.09591735
GIS_3,6.59E-01,5.62E-01,5.96E-01,1.172724743
GIS_4,0.788239615,0.650829603,0.440800147,1.211130551
GIS_5,0.759927152,0.608703278,0.400695958,1.24843611
GIS_6,0.768747671,0.586202618,0.428615147,1.311402658
GME_0,6.75E-01,6.21E-01,8.20E-01,1.09E+00
GME_1,6.87E-01,6.30E-01,8.59E-01,1.09E+00
GON_0,6.03E-01,5.76E-01,8.13E-01,1.05E+00
GON_1,5.95E-01,5.87E-01,8.26E-01,1.01E+00
GOO_0,0.853577004,0.686772438,0.495639042,1.242881858
HEU_0,0.541021648,0.457250719,0.489721143,1.183205681
HEU_1,0.583646983,0.487902887,0.538418035,1.19623597
HEU_2,0.571320733,0.478655274,0.504222535,1.1935954
IFO_0,7.03E-01,6.75E-01,9.65E-01,1.04E+00
IFO_1,7.06E-01,6.78E-01,9.81E-01,1.04E+00
IFR_0,6.10E-01,5.76E-01,9.05E-01,1.059287417
IFR_1,6.27E-01,5.74E-01,8.95E-01,1.09E+00
IFT,7.45E-01,7.10E-01,9.62E-01,1.05E+00
IFU,7.35E-01,7.11E-01,9.56E-01,1.03E+00
IFW,6.63E-01,6.66E-01,9.06E-01,9.96E-01
IFY,6.60E-01,6.24E-01,7.60E-01,1.06E+00
IHW_0,6.03E-01,5.75E-01,8.71E-01,1.049238548
IHW_1,5.59E-01,5.40E-01,8.46E-01,1.035923503
IMF_0,0.591683408,0.543971752,0.694422654,1.087709805
IMF_1,0.597994757,0.55558306,0.697921455,1.076337276
IRN,6.61E-01,6.45E-01,8.22E-01,1.02E+00
IRR_0,7.32E-01,6.92E-01,9.09E-01,1.06E+00
IRR_1,7.41E-01,6.84E-01,9.14E-01,1.08E+00
IRY,7.51E-01,7.25E-01,9.76E-01,1.04E+00
ISV_0,6.63E-01,6.15E-01,9.67E-01,1.08E+00
ISV_1,6.43E-01,6.32E-01,9.81E-01,1.02E+00
ITE_0,6.77E-01,6.40E-01,8.56E-01,1.06E+00
ITE_1,6.63E-01,6.52E-01,8.66E-01,1.02E+00
ITG,6.46E-01,6.01E-01,9.57E-01,1.07E+00
ITH_0,6.12E-01,5.90E-01,7.87E-01,1.04E+00
ITH_1,6.19E-01,5.84E-01,7.84E-01,1.060228826
ITR_0,6.15E-01,5.96E-01,8.16E-01,1.03E+00
ITR_1,6.32E-01,6.13E-01,8.03E-01,1.03E+00
ITT_0,6.90E-01,6.50E-01,7.95E-01,1.06E+00
ITV_0,7.58E-01,6.98E-01,9.30E-01,1.09E+00
ITW_0,0.892895338,0.820542467,0.904342545,1.088176876
ITW_1,9.70E-01,8.79E-01,1.38E+00,1.10E+00
IWR_0,0.657303349,0.608467618,0.915695893,1.080260197
IWR_1,6.47E-01,6.21E-01,9.08E-01,1.04E+00
IWS_0,6.74E-01,6.54E-01,9.79E-01,1.03E+00
IWS_1,6.95E-01,6.67E-01,9.92E-01,1.04E+00
IWV_0,7.07E-01,6.87E-01,9.23E-01,1.03E+00
IWV_1,7.14E-01,6.87E-01,9.59E-01,1.04E+00
IWW_0,6.31E-01,5.67E-01,8.95E-01,1.11E+00
IWW_1,6.33E-01,5.90E-01,8.74E-01,1.07E+00
JBW_0,1.425165249,1.188508553,0.914935472,1.199120734
JOZ_0,0.688018812,0.562557521,0.281525342,1.223019488
JRY_0,8.10E-01,6.95E-01,8.45E-01,1.16E+00
JSN_0,0.590683707,0.51184481,0.504847506,1.154028908
JSN_1,0.573144472,0.544667521,0.454270016,1.052283183
JSR_0,7.24E-01,6.81E-01,8.85E-01,1.06E+00
JST_0,7.18E-01,6.61E-01,6.93E-01,1.09E+00
KFI_0,6.53E-01,6.42E-01,9.33E-01,1.02E+00
KFI_1,6.53E-01,6.23E-01,9.09E-01,1.05E+00
LAU_0,5.53E-01,5.05E-01,6.72E-01,1.094381845
LAU_1,5.83E-01,5.37E-01,7.06E-01,1.09E+00
LAU_2,5.62E-01,5.05E-01,6.53E-01,1.11E+00
LEV_0,5.67E-01,5.80E-01,8.85E-01,0.976852268
LEV_1,5.75E-01,5.75E-01,8.68E-01,1.000504666
LEV_2,5.61E-01,5.59E-01,9.06E-01,1.003705971
LOV_0,0.698869639,0.646018816,0.253845341,1.081810037
LTA_0,6.05E-01,6.21E-01,7.47E-01,0.974273576
LTA_1,6.34E-01,6.27E-01,8.33E-01,1.01E+00
